Annual FOIA Report Raw Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,,
Component/Office,Request Number,Is This A Consultation? (Y/N),Days Allowed,Statute Citation(s),Type(s) of Information Withheld,Case Citation(s),Initially Received,Perfected,Completed,Days Tolled,Track,Reason,"Disposition ""Other"" Reason",Exemption(s) Applied,Date Received ,Date Closed ,Disposition,Reason(s),"""Other"" Reason(s)",Exemption(s) Applied,Date Received,Date of Determination,Number of Days to Adjudicate,Granted / Denied,Date Adjudication Began,Date Adjudication Completed,Number of Days to Adjudicate,Granted / Denied,Amount of Fees Collected,
USAB ,2023-01,N,,N/A,n/a,n/a,10/11/2022,,10/11/2022,0,<1,All records provided,All records withheld ,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-02,N,,N/A,n/a,n/a,11/3/2022,,11/9/2022,0,17,Full Denial ,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-03,N,,N/A,n/a,n/a,12/21/2022,,12/22/2022,0,1,Full Denial ,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-04,N,,N/A,n/a,n/a,2/17/2023,,2/17/2023,0,<1,All records provided,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-05,N,,N/A,n/a,n/a,3/6/2023,,4/5/2023,0,22,All records provided,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-06,N,,N/A,n/a,n/a,3/13/2023,,3/27/2023,0,10,Full Denial ,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-07,N,,N/A,n/a,n/a,4/4/2023,,5/11/2023,0,27,All records provided,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-08,N,,N/A,n/a,n/a,5/8/2023,,7/10/2023,0,42,Partial Grant,,(b)(6),N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-09,N,,N/A,n/a,n/a,7/24/2023,,8/10/2023,0,13,Full Denial ,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-10,N,,N/A,n/a,n/a,6/9/2023,,7/10/2023,0,19,All records provided,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-11,N,,N/A,n/a,n/a,6/26/2023,,7/10/2023,0,9,Full Denial ,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-12,N,,N/A,n/a,n/a,7/25/2023,,11/1/2023,0,69,All records provided,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-13,N,,N/A,n/a,n/a,9/15/2023,,10/11/2023,0,17,All records provided,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-14,N,,N/A,n/a,n/a,9/15/2023,,10/11/2023,0,17,Full Denial ,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-15,N,,N/A,n/a,n/a,9/15/2023,,10/13/2023,0,19,Partial Grant,,"(b)(3), (b)(4), (b)(6)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-16,N,,N/A,n/a,n/a,9/15/2023,,10/12/2023,0,18,Partial Grant,,(b)(6),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2023-17,N,,N/A,n/a,n/a,9/15/2023,,10/11/2023,0,17,Full Denial ,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
